starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 13 23:31:27 2024	1713076287	0	13550	13550	6606
Sat Apr 13 23:31:32 2024	1713076292	0	13550	13551	6422
Sat Apr 13 23:31:36 2024	1713076296	0	13559	13559	6739
Sat Apr 13 23:31:58 2024	1713076318	0	13566	13566	5788
Sat Apr 13 23:33:19 2024	1713076399	0	13567	13567	13528
Sat Apr 13 23:31:52 2024	1713076312	0	13571	13571	8551
Sat Apr 13 23:31:58 2024	1713076318	0	13587	13587	12608
Sat Apr 13 23:33:24 2024	1713076404	0	13600	13601	8788
Sat Apr 13 23:31:46 2024	1713076306	0	13617	13617	13500
Sat Apr 13 23:30:45 2024	1713076245	12	13629	13641	8498
Sat Apr 13 23:31:13 2024	1713076273	0	13641	13641	4827
Sat Apr 13 23:32:34 2024	1713076354	0	13650	13651	9613
Sat Apr 13 23:32:45 2024	1713076365	0	13652	13652	11094
Sat Apr 13 23:32:42 2024	1713076362	0	13653	13653	13390
Sat Apr 13 23:33:19 2024	1713076399	0	13667	13668	9666
Sat Apr 13 23:32:25 2024	1713076345	0	13676	13676	8805
Sat Apr 13 23:30:59 2024	1713076259	0	13691	13691	3066
Sat Apr 13 23:32:02 2024	1713076322	0	13701	13701	5936
Sat Apr 13 23:32:47 2024	1713076367	0	13703	13703	11810
Sat Apr 13 23:32:34 2024	1713076354	1	13729	13730	13315
Sat Apr 13 23:30:58 2024	1713076258	0	13738	13738	13521
Sat Apr 13 23:32:06 2024	1713076326	0	13743	13743	5899
Sat Apr 13 23:32:58 2024	1713076378	0	13747	13747	10519
Sat Apr 13 23:32:30 2024	1713076350	0	13761	13762	8664
Sat Apr 13 23:32:44 2024	1713076364	0	13769	13769	11894
Sat Apr 13 23:31:54 2024	1713076314	0	13791	13791	7807
Sat Apr 13 23:31:35 2024	1713076295	0	13832	13832	6822
Sat Apr 13 23:31:42 2024	1713076302	0	13837	13838	8367
Sat Apr 13 23:31:56 2024	1713076316	0	13853	13853	7853
Sat Apr 13 23:30:57 2024	1713076257	0	13865	13865	8690
Sat Apr 13 23:32:29 2024	1713076349	0	13919	13919	13705
Sat Apr 13 23:33:22 2024	1713076402	0	13920	13921	10077
Sat Apr 13 23:33:19 2024	1713076399	0	13928	13928	9659
